Vintage Bin,Floor Area Bin,0
<1940,1500-1999,931
1980s,1500-1999,766
<1940,1000-1499,751
1970s,1500-1999,729
1950s,1000-1499,709
1960s,1500-1999,613
1970s,1000-1499,591
1980s,2000-2499,565
1950s,1500-1999,537
1980s,1000-1499,520
1960s,1000-1499,519
1970s,2000-2499,461
<1940,2000-2499,443
1990s,1500-1999,435
1960s,2000-2499,356
1990s,2000-2499,341
1940s,1000-1499,315
1980s,2500-2999,279
1940s,1500-1999,256
1950s,2000-2499,238
<1940,2500-2999,191
1990s,1000-1499,186
1990s,2500-2999,182
1970s,2500-2999,169
2000s,1500-1999,161
1980s,3000-3999,143
1950s,750-999,127
2000s,2000-2499,124
1960s,2500-2999,121
<1940,3000-3999,110
1940s,2000-2499,110
<1940,750-999,105
1960s,750-999,98
1950s,2500-2999,85
2000s,1000-1499,81
2000s,2500-2999,80
2010s,1500-1999,77
1990s,3000-3999,76
1970s,750-999,74
1940s,750-999,65
1980s,750-999,53
1970s,3000-3999,51
1960s,3000-3999,50
<1940,4000+,49
2000s,3000-3999,49
2010s,2000-2499,41
2010s,1000-1499,34
1940s,2500-2999,32
1950s,500-749,32
1950s,3000-3999,28
<1940,500-749,26
1980s,4000+,26
1940s,500-749,22
2010s,2500-2999,20
1990s,750-999,17
1940s,3000-3999,16
2000s,4000+,13
1970s,4000+,13
1990s,4000+,11
2010s,3000-3999,10
1960s,500-749,8
1960s,4000+,7
1950s,4000+,7
1940s,4000+,6
<1940,0-499,5
2000s,750-999,4
2010s,750-999,4
1980s,500-749,3
2010s,4000+,3
2000s,500-749,2
1990s,500-749,2
1960s,0-499,2
1940s,0-499,2
1980s,0-499,1
1970s,500-749,1
2000s,0-499,0
1990s,0-499,0
2010s,0-499,0
2010s,500-749,0
1970s,0-499,0
1950s,0-499,0
